source,issn,n,classe,sinais_curadoria,doaj,scimago,qualis_estilo,apc,retratacoes,citacao_media
Revista de Gestão e Avaliação Educacional,21762171,6,Indexada,1,True,False,False,False,0,0.5
Revista de Salud Pública,01240064,6,Indexada,2,False,True,True,False,0,11.8
SMAD Revista Eletrônica Saúde Mental Álcool e Drogas (Edição em Português),18066976,6,Indexada,1,True,False,False,True,0,5.0
Semina Ciências Sociais e Humanas,16765443,6,Indexada,1,True,False,False,False,0,3.0
Surgical and Experimental Pathology,25208454,6,Indexada,1,True,False,False,False,0,3.2
Transactions of the Royal Society of Tropical Medicine and Hygiene,00359203,6,Indexada,2,False,True,True,True,0,26.5
Acta Scientiarum. Technology/Acta scientiarum. Technology,18062563,5,Indexada,3,True,True,True,False,0,7.2
Alea Estudos Neolatinos,1517106X,5,Indexada,2,False,True,True,False,0,0.6
Ambiente e Agua - An Interdisciplinary Journal of Applied Science,1980993X,5,Indexada,3,True,True,True,True,0,7.4
Anais Brasileiros de Dermatologia,03650596,5,Indexada,3,True,True,True,True,0,21.6
Applied Biochemistry and Biotechnology,02732289,5,Indexada,2,False,True,True,True,0,29.8
Archives of Pediatric Neurosurgery,26753626,5,Indexada,3,True,True,True,False,0,0.6
Arquivos de Gastroenterologia,00042803,5,Indexada,3,True,True,True,False,1,3.6
Behavioural Brain Research,01664328,5,Indexada,2,False,True,True,True,0,12.6
Biomass Conversion and Biorefinery,21906815,5,Indexada,2,False,True,True,True,0,14.2
Brazilian Archives of Biology and Technology,15168913,5,Indexada,3,True,True,True,False,0,11.8
Caderno de Educação Física e Esporte,23185090,5,Indexada,1,True,False,False,False,0,0.4
Científica,01000039,5,Indexada,2,False,True,True,False,0,1.8
Conexões,15164381,5,Indexada,1,True,False,False,False,0,0.8
Debates em educação,21756600,5,Indexada,1,True,False,False,False,0,0.0
Dental Materials,01095641,5,Indexada,2,False,True,True,True,0,0.6
Domínios de Lingu gem,19805799,5,Indexada,1,True,False,False,False,0,0.4
Drug Metabolism and Personalized Therapy,23638907,5,Indexada,2,False,True,True,True,0,2.4
Estudos de Psicologia (Natal),1413294X,5,Indexada,2,False,True,True,False,0,11.6
Frontiers in Cellular and Infection Microbiology,22352988,5,Indexada,3,True,True,True,True,0,16.2
"GEPROS. Gestão da Produção, Operações e Sistemas",1809614X,5,Indexada,1,True,False,False,False,0,2.2
Genetics and Molecular Biology,14154757,5,Indexada,3,True,True,True,True,0,19.0
Human Immunology,01988859,5,Indexada,2,False,True,True,True,0,63.6
Human Pathology,00468177,5,Indexada,2,False,True,True,True,0,47.0
Industrial & Engineering Chemistry Research,08885885,5,Indexada,2,False,True,True,True,0,23.0
International Journal of Cardiology,01675273,5,Indexada,2,False,True,True,True,0,24.6
International Journal of Morphology,07179367,5,Indexada,2,False,True,True,False,0,13.0
Journal of Cleaner Production,09596526,5,Indexada,2,False,True,True,True,0,80.6
